Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.1596E-09,-2.3505E-10,-0.0070506,0,0,0,18.89,0.10015,2.9E-07,0,0.63353,0,0.67324,0,0,0,0,0,0,../meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,../meshes/base_link.STL,,dog body-1,Ibs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip_joint,-0.014666,0.031806,-5.4997E-06,0,0,0,1.342,0.00176041,-0.0001917,-9.4E-07,0.00157169,-1.1E-07,0.00202889,0,0,0,0,0,0,../meshes/FL_hip_joint.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,../meshes/FL_hip_joint.STL,,motor70-1,FL_hip_joint,J_hip_joint <motor70-1>,FL_hip_joint,revolute,0.325,0.0700000402160006,0,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
FL_thigh_joint,-0.010314,-0.031203,-0.038509,0,0,0,2.42,0.00611388,0.00040991,-0.00040221,0.00492669,0.0014414,0.00243023,0,0,0,0,0,0,../meshes/FL_thigh_joint.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,../meshes/FL_thigh_joint.STL,,left thigh-1;motor90-1;flange-1,FL_thigh_joint,J_L_thigh_joint <left thigh-1>,FL_thigh_joint,revolute,-0.0100000000000001,0.1718,0,0,0,0,FL_hip_joint,0,1,0,0,0,0,0,,,,,,,,
FL_calf_joint,-0.0012222,0.0060027,-0.17625,0,0,0,1.55493991,0.00780986,6.561E-05,-0.00043012,0.00807968,0.00059248,0.00165088,0,0,0,0,0,0,../meshes/FL_calf_joint.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,../meshes/FL_calf_joint.STL,,calf-1;wheel motor-1,FL_calf_joint,J_calf_joint <calf-1>,FL_calf_joint,revolute,0,0,-0.200000000000001,0,0,0,FL_thigh_joint,0,1,0,0,0,0,0,,,,,,,,
FL_wheel_joint,-0.00012998,0.001769,-0.0001018,0,0,0,0.89637866,0.00293855,8.8E-07,2.2E-07,0.0056868,6.9E-07,0.00293222,0,0,0,0,0,0,../meshes/FL_wheel_joint.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,../meshes/FL_wheel_joint.STL,,wheel-1,FL_wheel_joint,J_wheel_joint <wheel-1>,FL_wheel_joint,revolute,-0.00803152995974415,0.0414999999999995,-0.245588595090826,0,0,0,FL_calf_joint,0,1,0,0,0,0,0,,,,,,,,
FR_hip_joint,-0.014666,-0.031806,5.5006E-06,0,0,0,1.342,0.00176041,0.0001917,9.4E-07,0.00157169,-1.1E-07,0.00202889,0,0,0,0,0,0,../meshes/FR_hip_joint.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,../meshes/FR_hip_joint.STL,,motor70-2,FR_hip_joint,J_hip_joint <motor70-2>,FR_hip_joint,revolute,0.325,-0.0700000402160014,0,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
FR_thigh_joint,-0.010294,0.031205,-0.03849,0,0,0,2.42,0.00611455,-0.00041,-0.00040373,0.00492887,-0.0014417,0.0024315,0,0,0,0,0,0,../meshes/FR_thigh_joint.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,../meshes/FR_thigh_joint.STL,,right thigh-1;motor90-2;flange-2,FR_thigh_joint,J_R_thigh_joint <right thigh-1>,FR_thigh_joint,revolute,-0.0100000000000001,-0.1718,0,0,0,0,FR_hip_joint,0,1,0,0,0,0,0,,,,,,,,
FR_calf_joint,-0.0012572,-0.006004,-0.17624,0,0,0,1.55493991,0.00781062,-6.116E-05,-0.00042801,0.0080792,-0.00059314,0.00164959,0,0,0,0,0,0,../meshes/FR_calf_joint.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,../meshes/FR_calf_joint.STL,,calf-2;wheel motor-2,FR_calf_joint,J_calf_joint <calf-2>,FR_calf_joint,revolute,0,0,-0.2,0,0,0,FR_thigh_joint,0,1,0,0,0,0,0,,,,,,,,
FR_wheel_joint,0.00014372,-0.001769,8.1256E-05,0,0,0,0.89637866,0.0029333,9.7E-07,2.39E-06,0.0056868,5.5E-07,0.00293747,0,0,0,0,0,0,../meshes/FR_wheel_joint.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,../meshes/FR_wheel_joint.STL,,wheel-2,FR_wheel_joint,J_wheel_joint <wheel-2>,FR_wheel_joint,revolute,-0.0080315299597451,-0.0415000000000005,-0.245588595090825,0,0,0,FR_calf_joint,0,-1,0,0,0,0,0,,,,,,,,
RL_hip_joint,0.014666,0.031806,5.5023E-06,0,0,0,1.342,0.00176041,0.0001917,-9.4E-07,0.00157169,1.1E-07,0.00202889,0,0,0,0,0,0,../meshes/RL_hip_joint.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,../meshes/RL_hip_joint.STL,,motor70-3,RL_hip_joint,J_hip_joint <motor70-3>,RL_hip_joint,revolute,-0.325,0.0700000402160005,0,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
RL_thigh_joint,-0.010314,-0.031203,-0.038509,0,0,0,2.42,0.00611388,0.00040991,-0.00040221,0.00492669,0.0014414,0.00243023,0,0,0,0,0,0,../meshes/RL_thigh_joint.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,../meshes/RL_thigh_joint.STL,,left thigh-2;motor90-3;flange-3,RL_thigh_joint,J_L_thigh_joint <left thigh-2>,RL_thigh_joint,revolute,0.0099999999999999,0.1718,0,0,0,0,RL_hip_joint,0,1,0,0,0,0,0,,,,,,,,
RL_calf_joint,-0.0012222,0.0060026,-0.17625,0,0,0,1.55493991,0.00780986,6.561E-05,-0.00043012,0.00807968,0.00059248,0.00165088,0,0,0,0,0,0,../meshes/RL_calf_joint.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,../meshes/RL_calf_joint.STL,,calf-3;wheel motor-3,RL_calf_joint,J_calf_joint <calf-3>,RL_calf_joint,revolute,0,0,-0.2,0,0,0,RL_thigh_joint,0,1,0,0,0,0,0,,,,,,,,
RL_wheel_joint,-0.00012743,0.001769,-0.00010497,0,0,0,0.89637866,0.00293853,8.7E-07,3.8E-07,0.0056868,7.1E-07,0.00293224,0,0,0,0,0,0,../meshes/RL_wheel_joint.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,../meshes/RL_wheel_joint.STL,,wheel-3,RL_wheel_joint,J_wheel_joint <wheel-3>,RL_wheel_joint,revolute,-0.00803152995974643,0.0415000000000005,-0.245588595090825,0,0,0,RL_calf_joint,0,1,0,0,0,0,0,,,,,,,,
